,IC00C1.CFE,IC00C2.CFE,IC00C3.CFE,IC00C4.CFE
2015/4/16,7681.00 ,7520.00 ,7752.80 ,7799.60 
2015/4/17,7722.00 ,7651.40 ,7649.00 ,7625.20 
2015/4/20,7760.00 ,7719.40 ,7590.00 ,7559.80 
2015/4/21,7650.20 ,7550.20 ,7481.60 ,7462.00 
2015/4/22,8158.00 ,8135.20 ,8075.20 ,7959.20 
2015/4/23,8193.00 ,8108.00 ,8029.00 ,7942.00 
2015/4/24,8247.80 ,8167.80 ,8080.00 ,8015.80 
2015/4/27,8368.00 ,8220.40 ,8177.60 ,8039.00 
2015/4/28,8308.00 ,8262.00 ,8144.20 ,8074.00 
2015/4/29,8138.00 ,8066.60 ,8076.60 ,7900.00 
2015/4/30,8320.00 ,8236.80 ,8139.40 ,8056.80 
2015/5/4,8370.20 ,8274.80 ,8200.00 ,8060.00 
2015/5/5,8334.80 ,8217.20 ,8121.80 ,8012.00 
2015/5/6,8168.00 ,8118.20 ,7935.40 ,7830.60 
2015/5/7,8020.00 ,7900.00 ,7804.00 ,7710.80 
2015/5/8,7933.40 ,7894.80 ,7775.80 ,7660.80 
2015/5/11,8170.00 ,8118.80 ,7976.60 ,7899.80 
2015/5/12,8499.60 ,8394.00 ,8220.20 ,8132.60 
2015/5/13,8595.00 ,8500.00 ,8319.60 ,8182.20 
2015/5/14,8689.00 ,8530.00 ,8367.40 ,8192.60 
2015/5/15,8754.80 ,8610.00 ,8348.00 ,8147.00 
2015/5/18,8640.60 ,8597.60 ,8385.00 ,8282.80 
2015/5/19,8805.60 ,8705.60 ,8591.00 ,8432.60 
2015/5/20,9121.80 ,9003.20 ,9000.80 ,8838.00 
2015/5/21,9311.40 ,9244.20 ,9195.00 ,9070.40 
2015/5/22,9783.00 ,9652.20 ,9601.00 ,9500.20 
2015/5/25,9610.00 ,9460.20 ,9498.00 ,9249.00 
2015/5/26,9988.00 ,9919.00 ,9808.00 ,9649.00 
2015/5/27,10598.40 ,10512.80 ,10395.20 ,10245.00 
2015/5/28,10580.00 ,10637.80 ,10600.00 ,10450.00 
2015/5/29,10126.80 ,10098.00 ,10066.00 ,9858.20 
2015/6/1,10170.20 ,10600.00 ,10260.00 ,10099.80 
2015/6/2,11058.00 ,11058.80 ,11002.20 ,10922.00 
2015/6/3,11281.20 ,11352.20 ,11506.20 ,11441.40 
2015/6/4,11127.00 ,11134.40 ,11435.00 ,11176.80 
2015/6/5,10900.00 ,10915.00 ,10980.00 ,10657.00 
2015/6/8,10840.00 ,10830.00 ,10896.40 ,10692.60 
2015/6/9,10599.00 ,10542.40 ,10450.80 ,10274.00 
2015/6/10,10608.00 ,10601.80 ,10570.00 ,10152.20 
2015/6/11,11094.80 ,10920.20 ,10855.40 ,10617.00 
2015/6/12,11293.00 ,11121.00 ,11098.80 ,10844.40 
2015/6/15,11461.40 ,11406.00 ,11355.40 ,11181.00 
2015/6/16,11238.00 ,11172.00 ,11169.80 ,10968.80 
2015/6/17,10837.60 ,10720.20 ,10681.20 ,10476.20 
2015/6/18,11055.00 ,10998.00 ,10886.00 ,10685.00 
2015/6/19,11000.00 ,10535.00 ,10449.00 ,10180.00 
2015/6/23,9977.00 ,10018.00 ,10015.00 ,9640.00 
2015/6/24,9888.00 ,9853.60 ,9855.00 ,9539.20 
2015/6/25,10101.00 ,9987.80 ,10005.20 ,9798.00 
2015/6/26,9380.00 ,9300.20 ,9200.00 ,8939.00 
2015/6/29,8788.00 ,8788.60 ,8650.00 ,8195.80 
2015/6/30,7768.00 ,7641.00 ,7530.00 ,7300.00 
2015/7/1,8396.00 ,8289.80 ,8249.00 ,7900.20 
2015/7/2,7910.00 ,7552.20 ,7350.20 ,7223.00 
2015/7/3,7718.00 ,7510.00 ,7501.00 ,7299.80 
2015/7/6,8167.20 ,7996.60 ,7979.00 ,7788.00 
2015/7/7,7303.60 ,7320.80 ,7300.00 ,7002.80 
2015/7/8,6202.00 ,6100.00 ,5851.20 ,5620.00 
2015/7/9,5956.60 ,5870.00 ,5775.80 ,5205.40 
2015/7/10,6894.00 ,7103.20 ,6501.20 ,6250.20 
2015/7/13,7500.00 ,7499.00 ,7400.20 ,6908.20 
2015/7/14,7749.00 ,7598.00 ,7400.60 ,7145.00 
2015/7/15,7613.60 ,7516.00 ,7340.20 ,7100.00 
2015/7/16,7120.00 ,6800.00 ,6550.00 ,6201.00 
2015/7/17,7542.00 ,7224.80 ,7098.80 ,6700.00 
2015/7/20,7920.00 ,7680.20 ,7298.00 ,7528.20 
2015/7/21,7587.80 ,7315.00 ,6996.40 ,6825.20 
2015/7/22,7715.00 ,7424.00 ,7170.40 ,7080.00 
2015/7/23,7802.20 ,7549.60 ,7187.20 ,7115.80 
2015/7/24,8414.20 ,8219.00 ,7866.00 ,7798.00 
2015/7/27,7978.80 ,7740.00 ,7399.80 ,7235.40 
2015/7/28,7198.00 ,7000.00 ,6501.00 ,6398.80 
2015/7/29,7300.60 ,6955.80 ,6698.80 ,6642.00 
2015/7/30,7700.00 ,7419.20 ,7107.60 ,6969.80 
2015/7/31,7275.00 ,6978.20 ,6648.60 ,6950.60 
2015/8/3,7335.00 ,7079.80 ,6745.80 ,6607.00 
2015/8/4,7088.80 ,6737.00 ,6498.00 ,6343.20 
2015/8/5,7677.00 ,7500.00 ,6961.80 ,6801.00 
2015/8/6,7415.00 ,7045.80 ,6800.00 ,6579.40 
2015/8/7,7600.00 ,7253.00 ,6950.00 ,6754.20 
2015/8/10,7855.00 ,7670.00 ,7315.00 ,7160.00 
2015/8/11,8356.80 ,8152.20 ,7784.20 ,7673.60 
2015/8/12,8202.20 ,7968.00 ,7611.00 ,7514.00 
2015/8/13,8100.00 ,7800.20 ,7478.80 ,7310.00 
2015/8/14,8388.00 ,8080.20 ,7690.60 ,7500.00 
2015/8/17,8406.00 ,8071.00 ,7612.20 ,7540.00 
2015/8/18,8689.00 ,8383.00 ,7820.00 ,7640.00 
2015/8/19,7793.80 ,7422.00 ,6990.00 ,6799.60 
2015/8/20,8122.00 ,7720.00 ,7252.00 ,7048.60 
2015/8/21,7913.20 ,7500.20 ,6951.00 ,6737.00 
2015/8/24,6953.00 ,6868.20 ,6675.00 ,6394.80 
2015/8/25,6249.00 ,6001.20 ,5755.00 ,5579.80 
2015/8/26,5869.00 ,5711.60 ,5447.20 ,5404.00 
2015/8/27,5700.00 ,5324.00 ,5069.40 ,4888.00 
2015/8/28,6101.20 ,5900.20 ,5600.20 ,5405.40 
2015/8/31,6387.00 ,6096.80 ,5850.00 ,5650.20 
2015/9/1,5960.00 ,5663.80 ,5318.00 ,5322.20 
2015/9/2,5277.40 ,4963.00 ,4792.20 ,4533.00 
2015/9/7,5650.00 ,5440.00 ,4723.00 ,4752.00 
2015/9/8,5806.20 ,5432.80 ,5070.20 ,4969.80 
2015/9/9,6428.00 ,6150.00 ,5700.20 ,5539.00 
2015/9/10,6318.00 ,6190.80 ,5823.80 ,5710.60 
