证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额,结算价
IC00C1,IC当月连续,2015-04-16,"7,681.0000","7,790.0000","7,480.2000","7,707.8000",——,——,"116,888","179,285,880,832","7,642.8000"
IC00C1,IC当月连续,2015-04-17,"7,722.0000","7,918.8000","7,631.2000","7,758.2000",50.4004,0.6539,"114,214","178,139,983,872","7,803.4000"
IC00C1,IC当月连续,2015-04-20,"7,760.0000","7,857.0000","7,582.0000","7,622.2000",-136.0000,-1.7530,"98,781","152,541,609,984","7,621.2000"
IC00C1,IC当月连续,2015-04-21,"7,650.2000","8,147.0000","7,640.2000","8,140.4000",518.1997,6.7986,"132,545","209,375,256,576","8,055.6000"
IC00C1,IC当月连续,2015-04-22,"8,158.0000","8,237.8000","8,104.4000","8,189.8000",49.3999,0.6068,"121,034","197,636,853,760","8,197.2000"
IC00C1,IC当月连续,2015-04-23,"8,193.0000","8,378.8000","8,160.4000","8,265.6000",75.7998,0.9255,"132,278","218,536,390,656","8,266.4000"
IC00C1,IC当月连续,2015-04-24,"8,247.8000","8,349.8000","8,123.8000","8,327.2000",61.6006,0.7453,"126,381","207,787,786,240","8,307.6000"
IC00C1,IC当月连续,2015-04-27,"8,368.0000","8,548.0000","8,292.0000","8,347.2000",20.0000,0.2402,"125,335","210,563,657,728","8,361.6000"
IC00C1,IC当月连续,2015-04-28,"8,308.0000","8,419.0000","8,011.6000","8,147.0000",-200.2002,-2.3984,"164,120","268,923,736,064","8,087.4000"
IC00C1,IC当月连续,2015-04-29,"8,138.0000","8,309.0000","8,079.0000","8,302.2000",155.2002,1.9050,"134,158","220,606,451,712","8,276.2000"
IC00C1,IC当月连续,2015-04-30,"8,320.0000","8,408.0000","8,291.2000","8,338.8000",36.5996,0.4408,"120,118","200,660,176,896","8,355.4000"
IC00C1,IC当月连续,2015-05-04,"8,370.2000","8,527.4000","8,202.4000","8,347.2000",8.4004,0.1007,"101,734","169,082,351,616","8,322.4000"
IC00C1,IC当月连续,2015-05-05,"8,334.8000","8,345.0000","8,090.0000","8,145.0000",-202.2002,-2.4224,"109,987","180,812,001,280","8,139.2000"
IC00C1,IC当月连续,2015-05-06,"8,168.0000","8,280.6000","7,970.0000","8,040.8000",-104.2002,-1.2793,"111,973","183,095,508,992","8,058.4000"
IC00C1,IC当月连续,2015-05-07,"8,020.0000","8,068.0000","7,901.0000","7,911.4000",-129.3999,-1.6093,"109,599","174,604,152,832","7,928.6000"
IC00C1,IC当月连续,2015-05-08,"7,933.4000","8,171.4000","7,921.0000","8,171.2000",259.8003,3.2839,"121,062","194,368,512,000","8,103.0000"
IC00C1,IC当月连续,2015-05-11,"8,170.0000","8,508.0000","8,144.0000","8,489.8000",318.5996,3.8991,"124,722","207,429,898,240","8,442.6000"
IC00C1,IC当月连续,2015-05-12,"8,499.6000","8,648.0000","8,415.4000","8,647.8000",158.0000,1.8611,"152,019","259,104,362,496","8,597.6000"
IC00C1,IC当月连续,2015-05-13,"8,595.0000","8,779.0000","8,492.0000","8,695.8000",48.0000,0.5551,"189,658","328,366,948,352","8,690.8000"
IC00C1,IC当月连续,2015-05-14,"8,689.0000","8,813.6000","8,645.2000","8,760.4000",64.6006,0.7429,"112,711","196,941,815,808","8,754.2000"
IC00C1,IC当月连续,2015-05-15,"8,754.8000","8,769.8000","8,605.4000","8,755.2000",-5.2002,-0.0594,"36,739","63,915,016,448","8,755.3100"
IC00C1,IC当月连续,2015-05-18,"8,640.6000","8,822.2000","8,580.0000","8,798.4000",43.2002,0.4934,"202,968","355,194,138,624","8,797.0000"
IC00C1,IC当月连续,2015-05-19,"8,805.6000","9,154.4000","8,736.2000","9,120.8000",322.3994,3.6643,"228,488","408,246,632,448","9,102.2000"
IC00C1,IC当月连续,2015-05-20,"9,121.8000","9,463.6000","9,111.2000","9,286.8000",166.0000,1.8200,"239,847","447,554,662,400","9,311.4000"
IC00C1,IC当月连续,2015-05-21,"9,311.4000","9,755.0000","9,301.0000","9,734.6000",447.7998,4.8219,"256,460","487,549,059,072","9,630.0000"
IC00C1,IC当月连续,2015-05-22,"9,783.0000","9,867.4000","9,525.0000","9,741.2000",6.6006,0.0678,"285,617","553,436,540,928","9,740.2000"
IC00C1,IC当月连续,2015-05-25,"9,610.0000","10,020.8000","9,455.4000","9,966.6000",225.3994,2.3139,"262,755","517,357,879,296","9,979.4000"
IC00C1,IC当月连续,2015-05-26,"9,988.0000","10,535.0000","9,986.2000","10,532.2000",565.6006,5.6750,"258,963","532,569,378,816","10,407.4000"
IC00C1,IC当月连续,2015-05-27,"10,598.4000","10,718.0000","10,366.0000","10,552.0000",19.7998,0.1880,"307,346","646,888,964,096","10,621.4000"
IC00C1,IC当月连续,2015-05-28,"10,580.0000","10,758.8000","9,818.0000","9,977.2000",-574.7998,-5.4473,"360,766","751,494,893,568","10,126.8000"
