证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
000905,中证500,2005-01-04,996.6800,996.6800,984.8000,986.9300,——,——,"2,323,762","1,329,187,122"
000905,中证500,2005-01-05,986.5700,"1,008.8600",985.6800,"1,003.6300",16.7000,1.6921,"3,486,101","1,919,861,791"
000905,中证500,2005-01-06,"1,003.4900","1,003.4900",990.7900,994.6000,-9.0300,-0.8997,"2,933,905","1,629,216,031"
000905,中证500,2005-01-07,993.4300,"1,009.0000",990.4500,997.6100,3.0100,0.3026,"3,391,626","1,906,530,712"
000905,中证500,2005-01-10,996.9300,"1,006.4600",993.1200,"1,006.3400",8.7300,0.8751,"2,949,405","1,650,218,869"
000905,中证500,2005-01-11,"1,006.2100","1,009.5000",999.8600,"1,008.3400",2.0000,0.1987,"3,136,115","1,778,497,883"
000905,中证500,2005-01-12,"1,008.0100","1,008.7400",998.3600,"1,008.6200",0.2800,0.0278,"3,196,393","1,825,638,693"
000905,中证500,2005-01-13,"1,008.1000","1,014.8400","1,005.3500","1,013.0700",4.4500,0.4412,"4,715,733","2,716,827,481"
000905,中证500,2005-01-14,"1,012.7000","1,019.4800",999.2700,"1,000.1700",-12.9000,-1.2734,"4,016,937","2,284,638,759"
000905,中证500,2005-01-17,990.9900,991.0200,974.3300,977.5200,-22.6500,-2.2646,"4,358,603","2,418,653,726"
000905,中证500,2005-01-18,977.6000,991.8400,974.1500,991.4200,13.9000,1.4220,"4,516,132","2,523,669,419"
000905,中证500,2005-01-19,991.2900,991.2900,981.2300,986.2400,-5.1800,-0.5225,"4,255,249","2,304,569,213"
000905,中证500,2005-01-20,983.2000,983.2000,966.8900,972.4600,-13.7800,-1.3972,"4,652,048","2,588,992,483"
000905,中证500,2005-01-21,971.5000,989.7200,951.4300,988.5200,16.0600,1.6515,"6,185,255","3,412,342,279"
000905,中证500,2005-01-24,"1,009.9500","1,009.9500",998.3700,"1,008.1800",19.6600,1.9888,"7,323,355","4,105,828,975"
000905,中证500,2005-01-25,"1,006.0000","1,006.0000",989.9500,999.5500,-8.6300,-0.8560,"4,694,803","2,651,186,737"
000905,中证500,2005-01-26,997.6400,997.6400,985.6700,987.9600,-11.5900,-1.1595,"4,113,900","2,238,628,613"
000905,中证500,2005-01-27,986.1500,986.1500,970.3500,971.3700,-16.5900,-1.6792,"4,123,213","2,214,822,674"
000905,中证500,2005-01-28,971.3700,971.9400,949.1100,952.4100,-18.9600,-1.9519,"4,072,373","2,106,037,353"
000905,中证500,2005-01-31,948.4400,948.4400,921.5800,922.6500,-29.7600,-3.1247,"4,095,099","2,058,937,471"
