证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额,结算价
IF00C1,IF当月连续,2010-04-16,"3,450.0000","3,488.0000","3,413.2000","3,415.6000",——,——,"48,988","50,538,807,296",——
IF00C1,IF当月连续,2010-04-19,"3,396.0000","3,398.0000","3,166.2000","3,197.4000",-218.2002,-6.3883,"109,733","108,206,415,872","3,200.5500"
IF00C1,IF当月连续,2010-04-20,"3,209.2000","3,240.0000","3,168.8000","3,214.6000",17.2002,0.5379,"141,862","136,342,093,824","3,216.6000"
IF00C1,IF当月连续,2010-04-21,"3,215.0000","3,281.2000","3,208.0000","3,267.2000",52.5999,1.6363,"114,531","111,267,897,344","3,266.0000"
IF00C1,IF当月连续,2010-04-22,"3,260.2000","3,274.4000","3,211.0000","3,236.2000",-31.0000,-0.9488,"133,247","129,629,806,592","3,240.0000"
IF00C1,IF当月连续,2010-04-23,"3,241.0000","3,266.0000","3,221.0000","3,221.2000",-15.0000,-0.4635,"116,981","113,886,814,208","3,235.6000"
IF00C1,IF当月连续,2010-04-26,"3,243.0000","3,252.0000","3,211.8000","3,219.6000",-1.5999,-0.0497,"112,229","108,949,725,184","3,224.8000"
IF00C1,IF当月连续,2010-04-27,"3,201.2000","3,205.0000","3,107.6000","3,138.8000",-80.8001,-2.5096,"139,961","132,007,157,760","3,121.8000"
IF00C1,IF当月连续,2010-04-28,"3,101.6000","3,142.6000","3,094.2000","3,129.0000",-9.8000,-0.3122,"128,530","120,470,298,624","3,132.8000"
IF00C1,IF当月连续,2010-04-29,"3,141.0000","3,157.6000","3,082.2000","3,083.8000",-45.2000,-1.4445,"116,254","109,415,653,376","3,114.4000"
IF00C1,IF当月连续,2010-04-30,"3,103.0000","3,119.6000","3,043.0000","3,107.0000",23.2000,0.7523,"184,157","170,310,303,744","3,090.5400"
IF00C1,IF当月连续,2010-05-04,"3,079.8000","3,094.4000","3,060.8000","3,076.4000",-30.6001,-0.9849,"150,123","138,591,338,496","3,069.4000"
IF00C1,IF当月连续,2010-05-05,"3,046.4000","3,087.0000","3,031.0000","3,076.4000",0.0000,0.0000,"145,542","133,493,194,752","3,078.6000"
IF00C1,IF当月连续,2010-05-06,"3,078.6000","3,083.4000","2,953.6000","2,967.4000",-109.0000,-3.5431,"170,221","154,506,805,248","2,973.0800"
IF00C1,IF当月连续,2010-05-07,"2,928.0000","2,959.8000","2,862.2000","2,897.6000",-69.7998,-2.3522,"240,106","209,597,906,944","2,896.1200"
IF00C1,IF当月连续,2010-05-10,"2,910.0000","2,931.0000","2,870.0000","2,918.0000",20.3999,0.7040,"201,919","175,917,203,456","2,912.0000"
IF00C1,IF当月连续,2010-05-11,"2,949.0000","2,957.8000","2,797.2000","2,801.6000",-116.3999,-3.9890,"224,626","194,325,118,976","2,816.5700"
IF00C1,IF当月连续,2010-05-12,"2,809.0000","2,855.0000","2,782.0000","2,836.2000",34.5999,1.2350,"273,131","231,214,055,424","2,829.4000"
IF00C1,IF当月连续,2010-05-13,"2,847.8000","2,915.6000","2,823.0000","2,894.6000",58.4002,2.0591,"217,422","186,684,129,280","2,902.4600"
IF00C1,IF当月连续,2010-05-14,"2,880.0000","2,894.8000","2,850.4000","2,862.6000",-32.0000,-1.1055,"185,453","159,865,831,424","2,861.2000"
IF00C1,IF当月连续,2010-05-17,"2,840.0000","2,840.2000","2,708.0000","2,719.0000",-143.6001,-5.0164,"117,625","97,865,072,640","2,728.0000"
IF00C1,IF当月连续,2010-05-18,"2,717.0000","2,808.0000","2,703.0000","2,779.0000",60.0000,2.2067,"40,298","33,122,066,432","2,779.7900"
IF00C1,IF当月连续,2010-05-19,"2,762.2000","2,808.8000","2,722.6000","2,763.4000",-15.6001,-0.5614,"14,913","12,382,801,920","2,767.4700"
IF00C1,IF当月连续,2010-05-20,"2,770.4000","2,820.0000","2,713.6000","2,735.0000",-28.3999,-1.0277,"7,125","5,908,115,968","2,735.3100"
IF00C1,IF当月连续,2010-05-21,"2,694.8000","2,751.6000","2,661.0000","2,749.8000",14.8001,0.5411,"3,765","3,069,376,256","2,748.6100"
IF00C1,IF当月连续,2010-05-24,"2,814.0000","2,933.4000","2,808.0000","2,902.0000",152.2000,5.5349,"300,512","260,913,840,128","2,908.6000"
IF00C1,IF当月连续,2010-05-25,"2,880.0000","2,889.2000","2,811.0000","2,813.2000",-88.8001,-3.0600,"288,927","247,386,079,232","2,833.6000"
IF00C1,IF当月连续,2010-05-26,"2,846.2000","2,878.8000","2,817.6000","2,839.6000",26.4002,0.9384,"326,246","278,374,416,384","2,829.1900"
IF00C1,IF当月连续,2010-05-27,"2,825.0000","2,909.8000","2,790.0000","2,901.4000",61.7998,2.1764,"325,500","277,922,283,520","2,896.4000"
IF00C1,IF当月连续,2010-05-28,"2,930.0000","2,942.0000","2,853.0000","2,865.2000",-36.2000,-1.2477,"306,690","266,372,939,776","2,869.7200"
IF00C1,IF当月连续,2010-05-31,"2,850.0000","2,898.8000","2,786.2000","2,792.0000",-73.2000,-2.5548,"337,678","288,432,455,680","2,811.8000"
IF00C1,IF当月连续,2010-06-01,"2,780.0000","2,820.6000","2,732.0000","2,762.0000",-30.0000,-1.0745,"420,130","349,613,424,640","2,760.5300"
IF00C1,IF当月连续,2010-06-02,"2,758.0000","2,781.4000","2,718.2000","2,776.4000",14.3999,0.5214,"343,923","284,048,064,512","2,762.0000"
IF00C1,IF当月连续,2010-06-03,"2,799.8000","2,807.0000","2,741.0000","2,748.0000",-28.3999,-1.0229,"342,961","285,871,079,424","2,763.2200"
IF00C1,IF当月连续,2010-06-04,"2,740.0000","2,767.8000","2,722.2000","2,761.0000",13.0000,0.4731,"324,387","267,206,426,624","2,755.6500"
IF00C1,IF当月连续,2010-06-07,"2,700.0000","2,718.0000","2,680.0000","2,706.2000",-54.8001,-1.9848,"289,681","234,726,768,640","2,704.9800"
IF00C1,IF当月连续,2010-06-08,"2,709.8000","2,726.0000","2,683.0000","2,724.4000",18.2000,0.6725,"225,087","182,970,957,824","2,699.4000"
IF00C1,IF当月连续,2010-06-09,"2,720.4000","2,808.0000","2,700.4000","2,788.8000",64.4002,2.3638,"314,559","258,644,967,424","2,785.6200"
IF00C1,IF当月连续,2010-06-10,"2,776.0000","2,791.0000","2,763.0000","2,769.6000",-19.2000,-0.6885,"232,630","193,539,407,872","2,772.2200"
IF00C1,IF当月连续,2010-06-11,"2,788.0000","2,796.8000","2,765.0000","2,765.8000",-3.8000,-0.1372,"169,575","141,499,449,344","2,773.1000"
IF00C1,IF当月连续,2010-06-17,"2,779.0000","2,784.4000","2,743.0000","2,744.2000",-21.6001,-0.7810,"29,949","24,881,301,504","2,754.4000"
IF00C1,IF当月连续,2010-06-18,"2,743.0000","2,756.0000","2,712.0000","2,716.8000",-27.3999,-0.9985,"14,919","12,244,629,504","2,717.5000"
IF00C1,IF当月连续,2010-06-21,"2,749.2000","2,816.6000","2,718.0000","2,804.8000",88.0000,3.2391,"277,989","230,887,604,224","2,809.2000"
IF00C1,IF当月连续,2010-06-22,"2,795.6000","2,815.0000","2,793.2000","2,797.6000",-7.2000,-0.2567,"220,831","185,624,412,160","2,799.7400"
IF00C1,IF当月连续,2010-06-23,"2,785.0000","2,801.6000","2,743.0000","2,765.2000",-32.4002,-1.1581,"238,316","198,109,233,152","2,761.7200"
IF00C1,IF当月连续,2010-06-24,"2,771.0000","2,810.0000","2,750.0000","2,771.0000",5.8000,0.2098,"297,949","247,888,101,376","2,766.8000"
IF00C1,IF当月连续,2010-06-25,"2,759.0000","2,772.8000","2,736.0000","2,753.8000",-17.2000,-0.6207,"249,654","206,254,407,680","2,751.9400"
IF00C1,IF当月连续,2010-06-28,"2,751.6000","2,763.8000","2,731.4000","2,741.6000",-12.2000,-0.4430,"210,541","173,555,564,544","2,738.2000"
IF00C1,IF当月连续,2010-06-29,"2,741.6000","2,746.8000","2,598.4000","2,600.4000",-141.2002,-5.1503,"298,585","238,816,509,952","2,610.6700"
IF00C1,IF当月连续,2010-06-30,"2,580.0000","2,593.0000","2,563.0000","2,579.0000",-21.3999,-0.8229,"247,753","191,603,245,056","2,573.2000"
IF00C1,IF当月连续,2010-07-01,"2,577.8000","2,584.6000","2,535.6000","2,545.2000",-33.8001,-1.3106,"243,922","187,585,069,056","2,546.0000"
IF00C1,IF当月连续,2010-07-02,"2,550.0000","2,565.0000","2,478.8000","2,546.0000",0.8000,0.0314,"367,858","278,952,017,920","2,543.6000"
IF00C1,IF当月连续,2010-07-05,"2,535.0000","2,549.6000","2,479.6000","2,530.6000",-15.3999,-0.6049,"359,351","271,062,941,696","2,531.4000"
IF00C1,IF当月连续,2010-07-06,"2,521.4000","2,585.0000","2,511.2000","2,564.6000",34.0000,1.3436,"365,680","280,310,939,648","2,558.4000"
IF00C1,IF当月连续,2010-07-07,"2,558.0000","2,582.0000","2,546.2000","2,568.4000",3.7998,0.1482,"318,135","244,524,810,240","2,564.8800"
IF00C1,IF当月连续,2010-07-08,"2,591.0000","2,599.4000","2,562.0000","2,569.0000",0.6001,0.0234,"254,951","197,178,507,264","2,574.5900"
IF00C1,IF当月连续,2010-07-09,"2,573.2000","2,668.0000","2,563.0000","2,650.0000",81.0000,3.1530,"327,713","257,431,420,928","2,652.0000"
IF00C1,IF当月连续,2010-07-12,"2,652.0000","2,693.0000","2,647.2000","2,660.6000",10.6001,0.4000,"289,268","231,451,426,816","2,666.2000"
IF00C1,IF当月连续,2010-07-13,"2,651.0000","2,653.0000","2,618.6000","2,626.0000",-34.6001,-1.3005,"269,627","212,904,558,592","2,632.0000"
IF00C1,IF当月连续,2010-07-14,"2,640.0000","2,679.2000","2,630.0000","2,647.0000",21.0000,0.7997,"209,930","167,221,264,384","2,641.6000"
IF00C1,IF当月连续,2010-07-15,"2,643.0000","2,695.0000","2,601.2000","2,604.0000",-43.0000,-1.6245,"79,047","62,891,630,592","2,620.0000"
IF00C1,IF当月连续,2010-07-16,"2,607.4000","2,612.8000","2,575.8000","2,596.0000",-8.0000,-0.3072,"15,142","11,782,977,536","2,595.7900"
IF00C1,IF当月连续,2010-07-19,"2,600.2000","2,715.2000","2,593.6000","2,697.6000",101.6001,3.9137,"379,966","301,743,374,336","2,691.1200"
IF00C1,IF当月连续,2010-07-20,"2,702.0000","2,761.0000","2,700.4000","2,746.0000",48.3999,1.7942,"390,979","320,947,650,560","2,745.2000"
IF00C1,IF当月连续,2010-07-21,"2,749.0000","2,758.4000","2,733.8000","2,744.4000",-1.6001,-0.0583,"308,125","253,796,057,088","2,744.0000"
IF00C1,IF当月连续,2010-07-22,"2,740.0000","2,785.6000","2,736.2000","2,784.4000",40.0000,1.4575,"385,991","319,941,705,728","2,774.6000"
IF00C1,IF当月连续,2010-07-23,"2,790.0000","2,800.8000","2,765.2000","2,783.6000",-0.7998,-0.0287,"326,508","272,741,826,560","2,782.2000"
IF00C1,IF当月连续,2010-07-26,"2,792.0000","2,803.2000","2,769.2000","2,796.8000",13.2000,0.4742,"295,351","247,139,336,192","2,793.8000"
IF00C1,IF当月连续,2010-07-27,"2,797.8000","2,799.8000","2,773.6000","2,778.0000",-18.8001,-0.6722,"298,118","248,995,315,712","2,782.8000"
IF00C1,IF当月连续,2010-07-28,"2,780.2000","2,888.6000","2,775.2000","2,887.4000",109.3999,3.9381,"354,307","301,227,212,800","2,879.2000"
IF00C1,IF当月连续,2010-07-29,"2,888.0000","2,896.0000","2,862.8000","2,876.8000",-10.5999,-0.3671,"274,230","237,012,353,024","2,878.6000"
IF00C1,IF当月连续,2010-07-30,"2,873.0000","2,880.6000","2,855.2000","2,871.4000",-5.4001,-0.1877,"241,645","207,849,586,688","2,869.6000"
IF00C1,IF当月连续,2010-08-02,"2,888.2000","2,950.8000","2,880.2000","2,926.4000",55.0000,1.9154,"288,420","252,509,077,504","2,928.0000"
IF00C1,IF当月连续,2010-08-03,"2,928.0000","2,935.0000","2,849.0000","2,856.8000",-69.5999,-2.3783,"322,000","280,584,028,160","2,884.0000"
IF00C1,IF当月连续,2010-08-04,"2,859.8000","2,892.0000","2,835.0000","2,873.8000",17.0000,0.5951,"382,739","329,146,171,392","2,872.0000"
IF00C1,IF当月连续,2010-08-05,"2,872.8000","2,880.6000","2,821.8000","2,846.4000",-27.4002,-0.9534,"319,116","273,606,279,168","2,843.2000"
IF00C1,IF当月连续,2010-08-06,"2,850.0000","2,923.6000","2,832.0000","2,920.0000",73.6001,2.5857,"322,329","278,041,755,648","2,913.8000"
IF00C1,IF当月连续,2010-08-09,"2,917.0000","2,932.0000","2,891.4000","2,913.0000",-7.0000,-0.2397,"288,638","252,012,101,632","2,910.8000"
IF00C1,IF当月连续,2010-08-10,"2,913.2000","2,920.6000","2,827.8000","2,837.0000",-76.0000,-2.6090,"324,580","279,905,140,736","2,842.8000"
IF00C1,IF当月连续,2010-08-11,"2,839.0000","2,873.0000","2,825.0000","2,839.4000",2.3999,0.0846,"359,463","306,764,840,960","2,840.0000"
IF00C1,IF当月连续,2010-08-12,"2,822.0000","2,868.8000","2,810.0000","2,826.8000",-12.5999,-0.4438,"337,014","286,777,868,288","2,822.0000"
