Date,IH00C1.CFE_Open,IH00C1.CFE_Close,IH00C2.CFE_Open,IH00C2.CFE_Close,IH00C3.CFE_Open,IH00C3.CFE_Close,IH00C4.CFE_Open,IH00C4.CFE_Close,Expiry Date
2015/4/16,3100,3283.8,3153,3295,3089,3298.8,3118.8,3318.4,2015/5/15
2015/4/17,3303.6,3254,3303,3267.8,3298.8,3284.6,3356.8,3315.4,2015/5/15
2015/4/20,3258,3146.8,3310,3154,3317.8,3167.6,3331.4,3212.8,2015/5/15
2015/4/21,3176.8,3234,3177.6,3238.8,3186.4,3248.8,3234.2,3298.8,2015/5/15
2015/4/22,3250,3308,3251,3316.4,3260.4,3332,3298.8,3380.4,2015/5/15
2015/4/23,3318.6,3267.8,3324.8,3271.8,3367.8,3286,3393.8,3334.6,2015/5/15
2015/4/24,3248.8,3233,3241.8,3236.8,3240.2,3243.6,3334.6,3289.4,2015/5/15
2015/4/27,3260,3357.6,3238,3358,3260.2,3366.6,3299.8,3393.8,2015/5/15
2015/4/28,3339,3286.8,3360,3292,3367,3304.4,3390.2,3352.4,2015/5/15
2015/4/29,3282,3295.2,3288.6,3302.6,3303,3310.4,3343.2,3353.4,2015/5/15
2015/4/30,3315.2,3269.4,3319.8,3276,3312.4,3279.4,3368.4,3325.8,2015/5/15
2015/5/4,3295.8,3273.2,3290,3279.2,3305.6,3287,3331.4,3333.2,2015/5/15
2015/5/5,3279.6,3163,3284.8,3173,3293.4,3178,3333.2,3221.2,2015/5/15
2015/5/6,3171.2,3153,3181.6,3161,3179.2,3165.2,3221.2,3205.8,2015/5/15
2015/5/7,3159.6,3111.2,3161.2,3121.8,3185.6,3130.4,3204.8,3169.6,2015/5/15
2015/5/8,3131,3099.8,3148.8,3112.6,3156.6,3121.2,3190,3169.8,2015/5/15
2015/5/11,3112,3160,3126.6,3178,3160,3190,3172.2,3233.4,2015/5/15
2015/5/12,3151,3175,3178.2,3175.2,3198,3185,3229.2,3227.6,2015/5/15
2015/5/13,3200,3125.4,3202,3112.4,3197.6,3121.6,3246,3163.2,2015/5/15
2015/5/14,3131.2,3129.4,3148,3113.4,3139.8,3124.8,3163,3167,2015/5/15
2015/5/15,3140,3073.2,3115.2,3041.4,3129.8,3044.6,3180.6,3094.2,2015/5/15
2015/5/18,3033.6,2969.4,3027.4,2954,3048.6,2964.4,3091.4,3014,2015/6/19
2015/5/19,2973.4,3143,2974,3128.2,2976.8,3145,3009.8,3192,2015/6/19
2015/5/20,3163,3145.2,3130,3129,3145.2,3146.6,3193.4,3196,2015/6/19
2015/5/21,3157,3191.4,3139.2,3179,3131,3202,3204.2,3246.6,2015/6/19
2015/5/22,3200,3303,3183,3295,3206.2,3315,3255.6,3366.4,2015/6/19
2015/5/25,3298.6,3413.6,3294.4,3409,3306,3435,3349.6,3486.4,2015/6/19
2015/5/26,3426,3417.8,3416.4,3422.8,3460,3453.8,3505.2,3515,2015/6/19
2015/5/27,3453.8,3396.8,3448,3392,3470,3429,3539,3486,2015/6/19
2015/5/28,3411.6,3164.6,3401,3152,3442.2,3184,3505.2,3238,2015/6/19
2015/5/29,3179.4,3118.6,3166,3112.6,3201.6,3140.6,3221.2,3212.6,2015/6/19
2015/6/1,3100,3336,3104,3336.4,3132,3368.2,3195.8,3436,2015/6/19
2015/6/2,3340,3295.6,3325,3307,3368.2,3332.2,3441.2,3399,2015/6/19
2015/6/3,3296.6,3244.8,3306.8,3251,3336.2,3291.6,3405,3354.2,2015/6/19
2015/6/4,3258.8,3373.2,3259.4,3368,3281.6,3404.2,3351.6,3480,2015/6/19
2015/6/5,3369,3304.8,3368,3304.8,3388,3326.8,3475,3393,2015/6/19
2015/6/8,3315,3535,3319.8,3550,3330.8,3556,3402.8,3625,2015/6/19
2015/6/9,3539.2,3415.8,3548.6,3425.8,3567,3452.8,3620,3515.8,2015/6/19
2015/6/10,3399,3365,3410,3379.4,3422,3390.6,3491.2,3468.4,2015/6/19
2015/6/11,3381.8,3361,3383.4,3380.2,3405,3392.6,3475,3456.8,2015/6/19
2015/6/12,3373.2,3405.2,3390.2,3427,3392.6,3442.4,3479.4,3497.8,2015/6/19
2015/6/15,3395.6,3263.8,3426,3276.2,3443,3302.4,3497,3357.2,2015/6/19
2015/6/16,3264.8,3193.4,3274.8,3207.2,3299.8,3229.8,3349,3292.6,2015/6/19
2015/6/17,3231,3205.4,3230,3221.6,3251,3251.4,3311.2,3311.2,2015/6/19
2015/6/18,3200,3085.4,3223,3103.6,3243.8,3129,3315,3174.4,2015/6/19
2015/6/19,3098.2,2993,3099.8,2860,3132,2885.6,3163.8,2899.6,2015/6/19
2015/6/23,2888.6,2982.6,2946.2,3003.6,2920,3023.8,2939,3085.4,2015/7/17
2015/6/24,2998.8,3044.2,3010,3050.8,3023.4,3083.2,3090.4,3139,2015/7/17
2015/6/25,3080,2919.2,3122,2931.6,3110,2950,3179,2986.8,2015/7/17
2015/6/26,2906,2690,2888,2706,2955,2720,2986.8,2769.8,2015/7/17
2015/6/29,2790,2654.8,2796.2,2674.2,2802,2688.6,2849,2751.2,2015/7/17
2015/6/30,2715.2,2847.8,2726.2,2878.6,2718.8,2882.8,2800,2933,2015/7/17
2015/7/1,2847,2696.2,2878.6,2709.8,2890.2,2725,2933,2753.2,2015/7/17
2015/7/2,2744.8,2740.4,2764,2740.6,2800.8,2760,2813,2805.4,2015/7/17
2015/7/3,2725,2596,2748.4,2611.6,2800,2625.4,2805.4,2677,2015/7/17
2015/7/6,2850,2756.8,2850,2758,2916,2781.6,2918,2826,2015/7/17
2015/7/7,2737,2747,2752.2,2720,2788,2726,2821.8,2752.2,2015/7/17
2015/7/8,2650,2500.2,2646.4,2480.8,2665,2490.8,2600,2512.6,2015/7/17
2015/7/9,2405.2,2751.4,2480.6,2706,2304,2701,2318.8,2723.6,2015/7/17
2015/7/10,2739.8,2853,2706.6,2809.8,2700,2780,2676,2805,2015/7/17
2015/7/13,2839,2799,2800,2772.6,2766,2757,2801.4,2773,2015/7/17
2015/7/14,2814,2712.6,2769,2660.6,2760,2634.4,2776.6,2623.4,2015/7/17
2015/7/15,2711.8,2708,2659.8,2614.8,2630,2591.2,2637.8,2585.8,2015/7/17
2015/7/16,2694.2,2760.6,2609.8,2692.4,2579.8,2663.2,2552.2,2674.8,2015/7/17
2015/7/17,2760,2792.2,2694,2742,2684.8,2704.8,2670.4,2703.4,2015/7/17
2015/7/20,2747.2,2690.4,2705.2,2658,2705.2,2653,2741.6,2666,2015/8/21
2015/7/21,2684,2666,2659.6,2619.2,2650.2,2618.2,2637.2,2636,2015/8/21
2015/7/22,2660,2632.6,2620.2,2585,2608.2,2577.6,2623.6,2588,2015/8/21
2015/7/23,2627,2745.8,2580,2709.6,2600,2702,2600,2706.2,2015/8/21
2015/7/24,2743.6,2666.2,2718.8,2632.4,2715,2623,2710,2611.4,2015/8/21
2015/7/27,2660.6,2435,2628,2399,2606.2,2378,2607,2385,2015/8/21
2015/7/28,2411,2422.4,2330,2390,2358.8,2360,2354.8,2363,2015/8/21
2015/7/29,2450.8,2478.4,2411.6,2445.2,2378.6,2420.8,2383,2416.8,2015/8/21
2015/7/30,2478.6,2410.4,2450,2372.6,2423.8,2348,2414.8,2349.4,2015/8/21
2015/7/31,2412.6,2412.2,2368,2369,2345.4,2327.4,2346.8,2363.8,2015/8/21
2015/8/3,2398,2405.2,2361.8,2337.6,2318.2,2271.4,2320.4,2279.8,2015/8/21
2015/8/4,2390.4,2483.6,2339,2422,2275,2364,2296.4,2366.6,2015/8/21
2015/8/5,2486,2448.8,2424,2397.4,2361,2323,2365.2,2313.2,2015/8/21
2015/8/6,2430,2439.6,2384.8,2393.6,2313.8,2323.2,2290,2334.8,2015/8/21
2015/8/7,2431,2464.8,2390,2437.6,2321.2,2399.6,2350.4,2400,2015/8/21
2015/8/10,2472.2,2575.4,2430,2546,2400.2,2513,2430,2516.4,2015/8/21
2015/8/11,2585.2,2562.4,2558.8,2534,2522.4,2500.6,2535.6,2525.8,2015/8/21
2015/8/12,2554,2548,2526.8,2520.8,2500.6,2483.4,2525.8,2490,2015/8/21
2015/8/13,2555.2,2553.2,2524.2,2524,2487.2,2485.4,2515,2512.2,2015/8/21
