证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额,结算价
IH00C1,IH当月连续,2015-04-16,"3,100.0000","3,288.2000","3,088.8000","3,283.8000",——,——,"144,423","137,728,663,552","3,223.6000"
IH00C1,IH当月连续,2015-04-17,"3,303.6000","3,341.6000","3,238.0000","3,254.0000",-29.8001,-0.9075,"271,224","267,552,071,680","3,280.8000"
IH00C1,IH当月连续,2015-04-20,"3,258.0000","3,315.0000","3,143.6000","3,146.8000",-107.2000,-3.2944,"267,213","260,529,434,624","3,176.8000"
IH00C1,IH当月连续,2015-04-21,"3,176.8000","3,242.2000","3,153.0000","3,234.0000",87.2000,2.7711,"239,311","229,320,093,696","3,211.2000"
IH00C1,IH当月连续,2015-04-22,"3,250.0000","3,333.2000","3,229.8000","3,308.0000",74.0000,2.2882,"239,676","235,475,714,048","3,309.6000"
IH00C1,IH当月连续,2015-04-23,"3,318.6000","3,348.2000","3,253.4000","3,267.8000",-40.2000,-1.2152,"246,929","244,348,149,760","3,273.2000"
IH00C1,IH当月连续,2015-04-24,"3,248.8000","3,267.8000","3,170.0000","3,233.0000",-34.8001,-1.0649,"224,297","217,010,196,480","3,236.6000"
IH00C1,IH当月连续,2015-04-27,"3,260.0000","3,358.0000","3,257.8000","3,357.6000",124.6001,3.8540,"259,172","256,955,109,376","3,326.4000"
IH00C1,IH当月连续,2015-04-28,"3,339.0000","3,376.0000","3,265.0000","3,286.8000",-70.8001,-2.1087,"329,692","327,774,720,000","3,287.0000"
IH00C1,IH当月连续,2015-04-29,"3,282.0000","3,325.6000","3,261.0000","3,295.2000",8.3999,0.2556,"242,567","239,786,655,744","3,301.6000"
IH00C1,IH当月连续,2015-04-30,"3,315.2000","3,331.2000","3,247.2000","3,269.4000",-25.8001,-0.7830,"202,408","200,023,306,240","3,275.4000"
IH00C1,IH当月连续,2015-05-04,"3,295.8000","3,301.8000","3,225.8000","3,273.2000",3.8000,0.1162,"189,061","185,146,007,552","3,269.4000"
IH00C1,IH当月连续,2015-05-05,"3,279.6000","3,281.6000","3,141.2000","3,163.0000",-110.2000,-3.3667,"217,674","210,023,333,888","3,165.8000"
IH00C1,IH当月连续,2015-05-06,"3,171.2000","3,257.4000","3,116.0000","3,153.0000",-10.0000,-0.3162,"261,933","251,113,054,208","3,149.0000"
IH00C1,IH当月连续,2015-05-07,"3,159.6000","3,170.0000","3,103.0000","3,111.2000",-41.8001,-1.3257,"234,619","220,961,865,728","3,128.4000"
IH00C1,IH当月连续,2015-05-08,"3,131.0000","3,149.0000","3,051.2000","3,099.8000",-11.3999,-0.3664,"215,483","200,658,501,632","3,099.2000"
IH00C1,IH当月连续,2015-05-11,"3,112.0000","3,170.4000","3,078.0000","3,160.0000",60.2000,1.9421,"201,465","188,934,832,128","3,160.8000"
IH00C1,IH当月连续,2015-05-12,"3,151.0000","3,194.6000","3,138.0000","3,175.0000",15.0000,0.4747,"189,729","180,330,065,920","3,173.4000"
IH00C1,IH当月连续,2015-05-13,"3,200.0000","3,204.8000","3,112.4000","3,125.4000",-49.6001,-1.5622,"165,986","157,229,486,080","3,129.4000"
IH00C1,IH当月连续,2015-05-14,"3,131.2000","3,158.4000","3,108.0000","3,129.4000",4.0000,0.1280,"106,178","99,736,571,904","3,125.2000"
IH00C1,IH当月连续,2015-05-15,"3,140.0000","3,140.0000","3,054.8000","3,073.2000",-56.2000,-1.7959,"42,093","39,060,353,280","3,072.8100"
IH00C1,IH当月连续,2015-05-18,"3,033.6000","3,049.0000","2,962.0000","2,969.4000",-103.8000,-3.3776,"177,652","160,675,913,728","2,983.0000"
IH00C1,IH当月连续,2015-05-19,"2,973.4000","3,145.6000","2,971.2000","3,143.0000",173.6001,5.8463,"295,536","273,278,808,064","3,113.4000"
IH00C1,IH当月连续,2015-05-20,"3,163.0000","3,217.0000","3,102.2000","3,145.2000",2.2000,0.0700,"288,447","273,041,502,208","3,157.0000"
