证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
000016,上证50,2004-01-02,996.9960,"1,021.5680",993.8920,"1,011.3470",——,——,"80,646","5,742,758,967"
000016,上证50,2004-01-05,"1,008.2790","1,060.8980","1,008.2790","1,060.8010",49.4540,4.8899,"144,681","10,706,463,941"
000016,上证50,2004-01-06,"1,059.1410","1,086.6940","1,059.0950","1,075.6560",14.8550,1.4004,"169,913","12,416,997,345"
000016,上证50,2004-01-07,"1,075.5620","1,095.8410","1,070.9800","1,086.3030",10.6471,0.9898,"137,294","10,352,534,788"
000016,上证50,2004-01-08,"1,087.6800","1,108.2910","1,082.5090","1,102.6620",16.3590,1.5059,"107,804","8,188,926,758"
000016,上证50,2004-01-09,"1,105.7700","1,115.4610","1,079.0720","1,081.7850",-20.8771,-1.8933,"134,674","10,548,445,392"
000016,上证50,2004-01-12,"1,081.8070","1,117.5050","1,079.7730","1,116.7990",35.0140,3.2367,"102,339","8,376,568,721"
000016,上证50,2004-01-13,"1,120.1490","1,123.6560","1,089.6330","1,102.3410",-14.4580,-1.2946,"98,371","7,989,281,144"
000016,上证50,2004-01-14,"1,101.4450","1,101.6660","1,076.8690","1,079.7200",-22.6210,-2.0521,"71,204","5,343,577,668"
000016,上证50,2004-01-15,"1,078.5330","1,088.6700","1,070.7270","1,073.9770",-5.7430,-0.5319,"61,792","4,755,875,010"
000016,上证50,2004-01-16,"1,076.6360","1,087.8170","1,067.8470","1,083.6520",9.6750,0.9009,"71,741","5,520,318,130"
000016,上证50,2004-01-29,"1,086.6570","1,101.0270","1,084.4550","1,100.6040",16.9519,1.5643,"57,912","4,529,581,998"
000016,上证50,2004-01-30,"1,102.1700","1,103.6990","1,066.4450","1,067.5530",-33.0509,-3.0030,"77,611","5,943,973,870"
000016,上证50,2004-02-02,"1,107.4900","1,116.3140","1,069.9670","1,091.7290",24.1759,2.2646,"154,329","11,668,205,473"
000016,上证50,2004-02-03,"1,091.8650","1,103.2440","1,084.3910","1,102.9540",11.2251,1.0282,"84,111","6,827,915,398"
000016,上证50,2004-02-04,"1,104.7400","1,130.1390","1,104.7400","1,128.4430",25.4889,2.3110,"105,349","8,915,089,429"
000016,上证50,2004-02-05,"1,135.6160","1,136.4230","1,118.1680","1,127.8970",-0.5459,-0.0484,"97,743","8,521,830,200"
000016,上证50,2004-02-06,"1,125.4880","1,139.0880","1,108.9090","1,122.0840",-5.8130,-0.5154,"111,403","9,086,959,709"
000016,上证50,2004-02-09,"1,122.2850","1,134.9100","1,122.2750","1,134.6110",12.5270,1.1164,"85,983","7,038,850,173"
000016,上证50,2004-02-10,"1,137.7170","1,141.9940","1,116.9290","1,120.9610",-13.6500,-1.2031,"86,627","7,084,279,413"
000016,上证50,2004-02-11,"1,121.8070","1,123.7690","1,100.2370","1,110.0610",-10.9000,-0.9724,"92,463","7,161,101,296"
000016,上证50,2004-02-12,"1,110.8350","1,122.4820","1,092.2930","1,094.1120",-15.9490,-1.4368,"95,815","7,735,862,225"
000016,上证50,2004-02-13,"1,094.0020","1,105.8190","1,088.8590","1,096.3620",2.2500,0.2056,"69,048","5,758,474,874"
000016,上证50,2004-02-16,"1,098.8580","1,124.3550","1,098.8580","1,123.7480",27.3860,2.4979,"76,234","6,197,794,454"
000016,上证50,2004-02-17,"1,127.0980","1,132.7140","1,121.2770","1,123.6180",-0.1300,-0.0116,"88,158","7,856,931,164"
000016,上证50,2004-02-18,"1,123.7010","1,136.5320","1,119.6280","1,129.2750",5.6570,0.5035,"80,937","7,208,809,235"
000016,上证50,2004-02-19,"1,130.3960","1,138.0820","1,119.6690","1,122.3800",-6.8950,-0.6106,"71,308","6,217,181,258"
000016,上证50,2004-02-20,"1,122.9300","1,125.3720","1,112.9440","1,124.6610",2.2810,0.2032,"59,887","5,258,601,253"
000016,上证50,2004-02-23,"1,126.2310","1,129.5200","1,092.0140","1,093.1370",-31.5239,-2.8030,"88,025","7,258,275,895"
000016,上证50,2004-02-24,"1,090.2500","1,095.9370","1,072.3290","1,093.1020",-0.0350,-0.0032,"84,493","6,881,090,367"
000016,上证50,2004-02-25,"1,094.4310","1,104.3490","1,067.1270","1,070.3620",-22.7400,-2.0803,"80,640","6,373,129,920"
000016,上证50,2004-02-26,"1,068.1250","1,080.2320","1,061.1970","1,079.8970",9.5350,0.8908,"81,008","6,041,586,122"
000016,上证50,2004-02-27,"1,081.7150","1,090.8920","1,079.9340","1,088.7250",8.8280,0.8175,"72,930","5,654,382,402"
000016,上证50,2004-03-01,"1,089.6530","1,095.2330","1,076.0760","1,094.2420",5.5170,0.5067,"64,417","5,297,533,595"
000016,上证50,2004-03-02,"1,096.1050","1,099.7140","1,086.7240","1,093.3910",-0.8511,-0.0778,"55,773","4,608,231,808"
000016,上证50,2004-03-03,"1,093.3580","1,093.7420","1,067.9440","1,072.6390",-20.7520,-1.8979,"52,148","4,177,177,058"
000016,上证50,2004-03-04,"1,070.9000","1,079.2690","1,061.8880","1,078.3480",5.7090,0.5322,"48,104","3,854,363,357"
000016,上证50,2004-03-05,"1,080.3380","1,083.1400","1,070.3020","1,071.5810",-6.7670,-0.6275,"33,650","2,754,915,383"
000016,上证50,2004-03-08,"1,070.1140","1,075.7480","1,056.0440","1,057.1020",-14.4790,-1.3512,"45,998","3,706,593,742"
000016,上证50,2004-03-09,"1,057.3580","1,075.2200","1,056.8830","1,061.1590",4.0570,0.3838,"69,180","4,876,685,815"
000016,上证50,2004-03-10,"1,062.9760","1,091.3460","1,062.9760","1,091.0970",29.9380,2.8213,"61,139","4,768,362,429"
000016,上证50,2004-03-11,"1,092.7410","1,102.2210","1,086.5470","1,095.5640",4.4670,0.4094,"57,617","4,817,175,725"
000016,上证50,2004-03-12,"1,096.3480","1,102.1260","1,088.4410","1,099.0810",3.5170,0.3210,"52,360","4,158,684,024"
000016,上证50,2004-03-15,"1,100.4040","1,134.2830","1,100.1490","1,131.6750",32.5940,2.9656,"102,520","8,500,648,458"
000016,上证50,2004-03-16,"1,136.2730","1,139.4860","1,127.8510","1,135.5710",3.8960,0.3443,"73,293","6,223,977,129"
000016,上证50,2004-03-17,"1,136.4530","1,139.2760","1,124.6000","1,135.1670",-0.4039,-0.0356,"54,898","4,842,844,317"
000016,上证50,2004-03-18,"1,134.9260","1,141.8090","1,110.3180","1,111.8490",-23.3181,-2.0542,"68,698","5,785,905,281"
000016,上证50,2004-03-19,"1,110.4420","1,130.2640","1,107.1030","1,129.7750",17.9260,1.6123,"58,859","4,782,877,132"
000016,上证50,2004-03-22,"1,130.8680","1,141.8120","1,126.1930","1,134.7870",5.0121,0.4436,"50,936","4,319,534,599"
000016,上证50,2004-03-23,"1,133.9930","1,134.1260","1,115.6700","1,121.3320",-13.4551,-1.1857,"55,875","4,644,463,952"
000016,上证50,2004-03-24,"1,120.2060","1,125.0600","1,109.3340","1,115.5120",-5.8199,-0.5190,"48,001","4,213,864,128"
000016,上证50,2004-03-25,"1,114.7480","1,126.1870","1,108.1790","1,115.2390",-0.2731,-0.0245,"46,092","3,777,134,579"
000016,上证50,2004-03-26,"1,115.4930","1,118.7240","1,105.5540","1,112.7820",-2.4569,-0.2203,"53,945","4,629,500,173"
000016,上证50,2004-03-29,"1,112.2760","1,115.0540","1,100.4280","1,101.6590",-11.1231,-0.9996,"53,362","4,156,404,720"
000016,上证50,2004-03-30,"1,100.7990","1,106.0100","1,093.1190","1,101.2710",-0.3881,-0.0352,"41,586","3,465,947,282"
000016,上证50,2004-03-31,"1,102.2860","1,113.7370","1,097.8680","1,108.5400",7.2690,0.6601,"42,478","3,468,943,518"
000016,上证50,2004-04-01,"1,109.7200","1,124.2540","1,108.9140","1,123.4350",14.8950,1.3437,"46,827","3,975,839,852"
000016,上证50,2004-04-02,"1,125.3610","1,133.4370","1,122.6420","1,127.8050",4.3700,0.3890,"57,889","4,954,578,188"
000016,上证50,2004-04-05,"1,128.5060","1,129.8150","1,112.2910","1,118.2730",-9.5320,-0.8452,"62,597","5,142,214,408"
000016,上证50,2004-04-06,"1,117.8860","1,124.0170","1,106.6000","1,123.8560",5.5830,0.4993,"55,459","4,525,595,373"
000016,上证50,2004-04-07,"1,124.2510","1,125.6300","1,116.1280","1,117.4400",-6.4160,-0.5709,"46,744","4,104,683,825"
000016,上证50,2004-04-08,"1,117.1170","1,118.4750","1,109.7790","1,112.8390",-4.6010,-0.4117,"57,587","4,997,167,504"
000016,上证50,2004-04-09,"1,113.7200","1,119.1480","1,083.3320","1,088.1570",-24.6820,-2.2179,"69,219","5,577,014,949"
000016,上证50,2004-04-12,"1,082.4490","1,087.4790","1,071.1160","1,080.0800",-8.0770,-0.7423,"50,211","3,920,294,084"
000016,上证50,2004-04-13,"1,081.0530","1,087.3220","1,070.8430","1,072.7260",-7.3540,-0.6809,"49,588","3,738,541,002"
000016,上证50,2004-04-14,"1,072.1990","1,074.6270","1,052.9170","1,065.6820",-7.0441,-0.6567,"48,380","3,806,044,083"
000016,上证50,2004-04-15,"1,066.1800","1,072.2380","1,053.0780","1,055.8890",-9.7930,-0.9189,"36,012","2,762,241,150"
000016,上证50,2004-04-16,"1,056.7950","1,071.5510","1,049.0250","1,071.2280",15.3390,1.4527,"44,376","3,409,113,103"
000016,上证50,2004-04-19,"1,072.4990","1,073.3980","1,052.5020","1,054.7380",-16.4900,-1.5394,"40,786","2,964,938,216"
000016,上证50,2004-04-20,"1,053.4370","1,059.4170","1,045.2040","1,052.2440",-2.4940,-0.2365,"33,938","2,559,575,773"
000016,上证50,2004-04-21,"1,053.3770","1,061.6530","1,040.3730","1,043.5320",-8.7119,-0.8279,"44,928","3,406,300,979"
000016,上证50,2004-04-22,"1,042.4700","1,055.2100","1,039.3510","1,050.7570",7.2250,0.6924,"41,356","3,094,117,948"
