证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
000852,中证1000,2005-01-04,996.2800,996.2800,982.9900,989.9800,——,——,"494,737","259,589,539"
000852,中证1000,2005-01-05,989.8700,"1,018.2600",988.5700,"1,013.5800",23.6000,2.3839,"822,661","441,803,030"
000852,中证1000,2005-01-06,"1,014.9700","1,014.9700","1,001.2100","1,005.4700",-8.1100,-0.8001,"732,454","386,428,399"
000852,中证1000,2005-01-07,"1,005.5200","1,021.7100","1,001.1000","1,011.7400",6.2700,0.6236,"758,240","443,201,562"
000852,中证1000,2005-01-10,"1,011.9300","1,023.6400","1,007.8000","1,023.6400",11.9000,1.1762,"596,927","334,380,575"
000852,中证1000,2005-01-11,"1,024.0400","1,027.1600","1,017.7900","1,027.1600",3.5200,0.3439,"782,625","422,969,885"
000852,中证1000,2005-01-12,"1,026.7400","1,026.7400","1,014.7700","1,024.9200",-2.2400,-0.2181,"762,477","414,983,403"
000852,中证1000,2005-01-13,"1,024.1300","1,030.4900","1,020.6700","1,029.3000",4.3800,0.4274,"1,021,112","596,290,832"
000852,中证1000,2005-01-14,"1,028.9900","1,034.5900","1,011.4400","1,011.8800",-17.4200,-1.6924,"864,133","489,983,019"
000852,中证1000,2005-01-17,"1,002.3300","1,002.3300",984.3800,986.6600,-25.2200,-2.4924,"921,192","523,647,613"
000852,中证1000,2005-01-18,985.6700,"1,008.4800",985.6700,"1,008.1100",21.4500,2.1740,"990,504","501,013,308"
000852,中证1000,2005-01-19,"1,007.1100","1,008.2200",997.6200,"1,002.4600",-5.6500,-0.5605,"1,162,300","579,483,565"
000852,中证1000,2005-01-20,999.9300,999.9300,982.4200,989.4400,-13.0200,-1.2988,"1,108,445","574,109,085"
000852,中证1000,2005-01-21,987.4300,"1,007.9200",966.0800,"1,006.2500",16.8100,1.6989,"1,660,074","854,971,965"
000852,中证1000,2005-01-24,"1,028.0100","1,029.0000","1,016.0900","1,028.0100",21.7600,2.1625,"1,778,422","956,858,403"
000852,中证1000,2005-01-25,"1,023.1000","1,023.1000","1,005.4900","1,015.1000",-12.9100,-1.2558,"1,290,204","684,957,954"
000852,中证1000,2005-01-26,"1,014.2500","1,015.1300","1,004.6100","1,006.8400",-8.2599,-0.8137,"1,205,919","644,322,041"
000852,中证1000,2005-01-27,"1,005.8900","1,005.8900",988.1200,989.4100,-17.4301,-1.7312,"1,151,757","587,830,237"
000852,中证1000,2005-01-28,989.4100,989.4100,960.2400,963.0100,-26.4000,-2.6683,"1,073,928","533,650,469"
000852,中证1000,2005-01-31,954.9400,954.9400,923.1300,924.1700,-38.8400,-4.0332,"1,143,886","568,290,192"
000852,中证1000,2005-02-01,917.3000,929.2200,905.2100,905.8000,-18.3700,-1.9877,"1,107,525","553,877,868"
000852,中证1000,2005-02-02,904.1300,959.9900,904.1300,958.3900,52.5900,5.8059,"1,528,858","785,164,718"
000852,中证1000,2005-02-03,956.7300,962.2600,936.5100,936.8600,-21.5300,-2.2465,"1,386,026","693,933,906"
000852,中证1000,2005-02-04,937.1500,954.9100,934.9600,952.3900,15.5300,1.6577,"1,277,179","625,729,830"
000852,中证1000,2005-02-16,959.2800,975.5000,958.4800,966.3900,14.0000,1.4700,"1,251,498","607,772,540"
000852,中证1000,2005-02-17,966.0400,973.8100,957.8000,973.8100,7.4200,0.7678,"1,127,479","532,734,950"
000852,中证1000,2005-02-18,973.1900,974.2100,963.7600,964.0100,-9.8000,-1.0064,"1,079,202","523,135,989"
000852,中证1000,2005-02-21,963.5800,983.6900,963.5800,983.6100,19.6000,2.0332,"1,311,630","667,415,493"
000852,中证1000,2005-02-22,983.9600,"1,016.3800",982.7600,"1,015.6600",32.0500,3.2584,"2,277,205","1,264,275,078"
000852,中证1000,2005-02-23,"1,016.7700","1,038.9100","1,010.4300","1,032.9000",17.2401,1.6974,"2,613,755","1,538,436,291"
000852,中证1000,2005-02-24,"1,031.7500","1,037.7800","1,023.3000","1,035.3500",2.4500,0.2372,"2,337,970","1,364,538,388"
000852,中证1000,2005-02-25,"1,034.5400","1,046.9900","1,032.3200","1,032.4100",-2.9399,-0.2840,"2,256,679","1,328,017,351"
000852,中证1000,2005-02-28,"1,032.1800","1,034.4600","1,021.8600","1,029.3800",-3.0300,-0.2935,"1,734,785","1,019,363,572"
000852,中证1000,2005-03-01,"1,028.6100","1,031.5400","1,018.9900","1,030.8200",1.4399,0.1399,"1,470,517","820,164,592"
000852,中证1000,2005-03-02,"1,031.5000","1,038.3500","1,013.8300","1,014.5300",-16.2899,-1.5803,"1,831,920","1,033,918,085"
000852,中证1000,2005-03-03,"1,011.2600","1,021.4500","1,003.2100","1,020.2500",5.7200,0.5638,"1,327,873","700,373,468"
000852,中证1000,2005-03-04,"1,020.5500","1,022.2300","1,009.8400","1,011.3600",-8.8900,-0.8714,"1,103,897","609,366,074"
000852,中证1000,2005-03-07,"1,011.8100","1,016.5600","1,009.2700","1,013.5900",2.2300,0.2205,"972,267","557,313,567"
000852,中证1000,2005-03-08,"1,014.2600","1,037.0600","1,014.2600","1,037.0300",23.4400,2.3126,"1,594,232","1,002,768,664"
