,000300.SH,,,000905.SH,,,000016.SH,,,000852.SH,,
,CSI 300 dividend yield,CSI 300,CSI 300 dividend,CSI 500 dividend yield,CSI 500,CSI 500 dividend,SSE 50 dividend yield,SSE 50,SSE 50 dividend,CSI 1000 dividend yield,CSI 1000,CSI 1000 dividend
2010/1/4,1.09 ,3535.23 ,38.68 ,0.71 ,4510.53 ,32.15 ,1.21 ,2514.65 ,30.32 ,0.00 ,4406.77 ,0.00 
2010/1/5,1.08 ,3564.04 ,38.57 ,0.71 ,4557.48 ,32.17 ,1.19 ,2543.99 ,30.28 ,0.00 ,4462.23 ,0.00 
2010/1/6,1.09 ,3541.73 ,38.69 ,0.71 ,4550.28 ,32.16 ,1.21 ,2514.01 ,30.31 ,0.00 ,4452.87 ,0.00 
2010/1/7,1.11 ,3471.46 ,38.67 ,0.72 ,4459.16 ,32.17 ,1.23 ,2463.76 ,30.27 ,0.00 ,4361.16 ,0.00 
2010/1/8,1.11 ,3480.13 ,38.79 ,0.71 ,4514.45 ,32.18 ,1.23 ,2466.17 ,30.37 ,0.00 ,4417.77 ,0.00 
2010/1/11,1.11 ,3482.05 ,38.64 ,0.71 ,4542.95 ,32.20 ,1.22 ,2478.81 ,30.29 ,0.00 ,4449.94 ,0.00 
2010/1/12,1.09 ,3534.92 ,38.55 ,0.69 ,4639.63 ,32.18 ,1.20 ,2508.04 ,30.12 ,0.00 ,4541.60 ,0.00 
2010/1/13,1.13 ,3421.14 ,38.68 ,0.70 ,4591.02 ,32.16 ,1.25 ,2399.64 ,30.05 ,0.00 ,4485.32 ,0.00 
2010/1/14,1.12 ,3469.05 ,38.81 ,0.68 ,4714.10 ,32.16 ,1.24 ,2422.77 ,30.10 ,0.00 ,4609.30 ,0.00 
2010/1/15,1.12 ,3482.74 ,38.89 ,0.68 ,4747.65 ,32.17 ,1.24 ,2427.81 ,30.16 ,0.00 ,4658.09 ,0.00 
